hashtag,username,caption,sentiment,neg,neu,pos,video_url,risk_score,risk_percent,risk_level
depression,,...,NEU,0.7596559524536133,0.2187197357416153,0.0216242633759975,https://www.tiktok.com/@l0nelysoul0/video/7545469157597334815,0.2,20.0,LOW
depression,,tired,NEU,0.7365711331367493,0.2360319197177887,0.0273970048874616,https://www.tiktok.com/@l0nelysoul0/video/7565507099598408990,0.2,20.0,LOW
depression,,...,NEU,0.0310163330286741,0.8057500123977661,0.1632336378097534,https://www.tiktok.com/@l0nelysoul0/video/7524228486022581534,0.2,20.0,LOW
depression,,...,NEU,0.6094728708267212,0.3505999445915222,0.039927203208208,https://www.tiktok.com/@l0nelysoul0/video/7577477403107282207,0.2,20.0,LOW
depression,,...,NEU,0.6396201848983765,0.3245009779930115,0.0358787812292575,https://www.tiktok.com/@l0nelysoul0/video/7577461206517157151,0.2,20.0,LOW
anxiety,,anxiety scientifically explained:,NEU,0.3149638473987579,0.6255258321762085,0.0595102719962596,https://www.tiktok.com/@mindscan24/video/7546303458102578445,0.2,20.0,LOW
anxiety,,motivation loss explained:,NEU,0.4323975443840027,0.5212010145187378,0.0464014075696468,https://www.tiktok.com/@mindscan24/video/7561523882507701518,0.2,20.0,LOW
anxiety,,the psychology of people who like summer 🏝️,NEU,0.0162641815841197,0.5952749252319336,0.3884609043598175,https://www.tiktok.com/@mindscan24/video/7560444231383371022,0.2,20.0,LOW
anxiety,,"rumination explained: replaying past mistakes over and over, is a sign of rumination.",NEU,0.5191090703010559,0.4412057101726532,0.03968520835042,https://www.tiktok.com/@mindscan24/video/7561157800647331127,0.2,20.0,LOW
anxiety,,men's mental health: why some men never talk about their feelings.,NEU,0.5268471240997314,0.4427839815616607,0.0303688719868659,https://www.tiktok.com/@mindscan24/video/7560124685896158519,0.2,20.0,LOW
suicide,,rare aesthetic,POS,0.0526661835610866,0.7670104503631592,0.1803233921527862,https://www.tiktok.com/@ce1ce2ce/video/7566622681236294934,0.15000000000000002,15.0,LOW
suicide,,Hotel Cecil,NEU,0.0383183993399143,0.8656396269798279,0.0960419625043869,https://www.tiktok.com/@ce1ce2ce/video/7567141865531723030,0.2,20.0,LOW
suicide,,rare aesthetic,POS,0.2542526125907898,0.653273344039917,0.092474065721035,https://www.tiktok.com/@ce1ce2ce/video/7566997185523485974,0.15000000000000002,15.0,LOW
suicide,,rare aesthetic,POS,0.0242823716253042,0.7626944184303284,0.2130232602357864,https://www.tiktok.com/@ce1ce2ce/video/7566951649886047510,0.15000000000000002,15.0,LOW
suicide,,,NEU,0.1483200490474701,0.7834327816963196,0.0682471618056297,https://www.tiktok.com/@ce1ce2ce/video/7497131507639700758,0.2,20.0,LOW
